date,facility_id,facility_name,labor_hours_actual_including_cr_hours_allocation,daily_cr_labor_hours_allocation
2023-08-02,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,9.25,0.0
2023-08-23,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-08-29,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-08-19,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,3.3,0.0
2023-08-13,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,6.783333,0.0
2023-08-09,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-08-24,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-09-07,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-08-25,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-08-16,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,8.35,0.0
2023-08-30,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-08-11,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,11.316667,0.0
2023-09-05,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-08-03,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,8.85,0.0
2023-08-20,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-09-01,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-08-08,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-09-04,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-08-27,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-08-12,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,10.3,0.0
2023-09-06,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-08-18,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,9.0,0.0
2023-08-21,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-08-28,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0
2023-08-09,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.333334,0.0
2023-08-20,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.7,0.0
2023-08-30,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.866666,0.0
2023-08-03,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.85,0.0
2023-08-31,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.016666,0.0
2023-09-02,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.25,0.0
2023-09-06,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,0.0,0.0
2023-08-10,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.45,0.0
2023-08-04,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.216667,0.0
2023-08-25,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.7,0.0
2023-08-11,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.4,0.0
2023-08-14,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.283333,0.0
2023-08-29,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,11.833333,0.0
2023-08-27,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.316667,0.0
2023-08-21,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.3,0.0
2023-08-19,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.45,0.0
2023-08-06,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.75,0.0
2023-08-13,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.216667,0.0
2023-08-07,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.25,0.0
2023-08-23,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,15.966667,0.0
2023-08-28,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.416667,0.0
2023-08-26,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.216666,0.0
2023-09-01,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.65,0.0
2023-08-08,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.483334,0.0
2023-09-04,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,0.0,0.0
2023-08-05,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.6,0.0
2023-08-16,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,11.966666,0.0
2023-08-24,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,16.4,0.0
2023-09-05,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,0.0,0.0
2023-08-17,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.333333,0.0
2023-08-01,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.2,0.0
2023-09-07,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,0.0,0.0
2023-08-15,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.3,0.0
2023-08-18,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,16.366666,0.0
2023-08-22,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.266667,0.0
2023-08-12,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.449999,0.0
2023-08-02,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,17.366666,0.0
2023-09-03,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.5,0.0
2023-08-17,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),11.683334,0.0
2023-08-01,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),12.583333,0.0
2023-08-13,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),17.6,0.0
2023-08-22,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),13.183333,0.0
2023-09-01,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),10.95,0.0
2023-08-30,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),24.383333,0.0
2023-08-21,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),7.8,0.0
2023-08-06,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),6.783333,0.0
2023-08-02,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),21.65,0.0
2023-08-04,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),21.65,0.0
2023-08-24,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),27.516666,0.0
2023-08-26,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),12.633333,0.0
2023-08-16,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),21.3,0.0
2023-08-25,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),24.3,0.0
2023-09-05,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),0.0,0.0
2023-08-05,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),11.916667,0.0
2023-08-15,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),13.233334,0.0
2023-08-31,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),19.616666,0.0
2023-08-27,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),16.266666,0.0
2023-08-20,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),9.783333,0.0
2023-09-07,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),0.0,0.0
2023-08-11,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),21.433333,0.0
2023-08-23,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),25.75,0.0
2023-08-28,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),19.533333,0.0
