date,facility_id,facility,hours_staffed,daily_cr_labor_hours_allocation,week,month,labor_cost
2023-08-17,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,10.933333,0.0,2023-08-14,2023-08-01,196.799994
2023-08-01,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,7.7,0.0,2023-07-31,2023-08-01,138.6
2023-08-31,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-28,2023-08-01,0.0
2023-08-04,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,6.033333,0.0,2023-07-31,2023-08-01,108.599994
2023-08-07,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-07,2023-08-01,0.0
2023-09-02,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-28,2023-09-01,0.0
2023-08-15,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-14,2023-08-01,0.0
2023-08-06,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,2.55,0.0,2023-07-31,2023-08-01,45.9
2023-08-10,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-07,2023-08-01,0.0
2023-08-22,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-21,2023-08-01,0.0
2023-09-03,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-28,2023-09-01,0.0
2023-08-14,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,10.583333,0.0,2023-08-14,2023-08-01,190.499994
2023-08-05,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-07-31,2023-08-01,0.0
2023-08-02,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,9.25,0.0,2023-07-31,2023-08-01,166.5
2023-08-23,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-21,2023-08-01,0.0
2023-08-29,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-28,2023-08-01,0.0
2023-08-19,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,3.3,0.0,2023-08-14,2023-08-01,59.4
2023-08-13,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,6.783333,0.0,2023-08-07,2023-08-01,122.099994
2023-08-09,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-07,2023-08-01,0.0
2023-08-24,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-21,2023-08-01,0.0
2023-09-07,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-25,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-21,2023-08-01,0.0
2023-08-16,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,8.35,0.0,2023-08-14,2023-08-01,150.29999999999998
2023-08-30,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-28,2023-08-01,0.0
2023-08-11,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,11.316667,0.0,2023-08-07,2023-08-01,203.700006
2023-09-05,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-03,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,8.85,0.0,2023-07-31,2023-08-01,159.29999999999998
2023-08-20,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-14,2023-08-01,0.0
2023-09-01,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-28,2023-09-01,0.0
2023-08-08,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-07,2023-08-01,0.0
2023-09-04,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-27,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-21,2023-08-01,0.0
2023-08-12,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,10.3,0.0,2023-08-07,2023-08-01,185.4
2023-09-06,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-18,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,9.0,0.0,2023-08-14,2023-08-01,162.0
2023-08-21,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-21,2023-08-01,0.0
2023-08-28,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-28,2023-08-01,0.0
2023-08-09,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.333334,0.0,2023-08-07,2023-08-01,222.00001200000003
2023-08-20,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.7,0.0,2023-08-14,2023-08-01,228.6
2023-08-30,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.866666,0.0,2023-08-28,2023-08-01,231.599988
2023-08-03,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.85,0.0,2023-07-31,2023-08-01,231.29999999999998
2023-08-31,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.016666,0.0,2023-08-28,2023-08-01,216.299988
2023-09-02,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.25,0.0,2023-08-28,2023-09-01,256.5
2023-09-06,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,0.0,0.0,2023-09-04,2023-09-01,0.0
